Sample,f0.5,AR,TB,Z*,rcov,rcore,X2r,IE1,ΔHmelt,ΔHsuf,ΔHv,Ssolid,ΔIP,AN/ΔIP,Z/r2,TM,μN,PP-R,SLN,Hf,Δε1,Sf(OH2+),Dr100,Size500,Zeta500,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Sc,Y,value
Ce_0.1,2.51,2.7,3716,10.8,1.65,1.23,1.430016,527.8,5.58,114,120,65.49,9.34,6.2099,55.74719986,1072,0.16,4.5,133,-700.4,-0.49,-104,2.104142368,148.8209,-17.59448,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.962415727
Ce_0.5,2.51,2.7,3716,10.8,1.65,1.23,1.430016,527.8,5.58,114,120,65.49,9.34,6.2099,55.74719986,1072,0.16,4.5,133,-700.4,-0.49,-104,2.104142368,148.8209,-17.59448,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.017436597
Ce_1,2.51,2.7,3716,10.8,1.65,1.23,1.430016,527.8,5.58,114,120,65.49,9.34,6.2099,55.74719986,1072,0.16,4.5,133,-700.4,-0.49,-104,2.104142368,148.8209,-17.59448,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.847394326
Ce_5,2.51,2.7,3716,10.8,1.65,1.23,1.430016,527.8,5.58,114,120,65.49,9.34,6.2099,55.74719986,1072,0.16,4.5,133,-700.4,-0.49,-104,2.104142368,148.8209,-17.59448,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.818102214
Ce_10,2.51,2.7,3716,10.8,1.65,1.23,1.430016,527.8,5.58,114,120,65.49,9.34,6.2099,55.74719986,1072,0.16,4.5,133,-700.4,-0.49,-104,2.104142368,148.8209,-17.59448,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.738092678
Ce_50,2.51,2.7,3716,10.8,1.65,1.23,1.430016,527.8,5.58,114,120,65.49,9.34,6.2099,55.74719986,1072,0.16,4.5,133,-700.4,-0.49,-104,2.104142368,148.8209,-17.59448,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.698456399
Ce_100,2.51,2.7,3716,10.8,1.65,1.23,1.430016,527.8,5.58,114,120,65.49,9.34,6.2099,55.74719986,1072,0.16,4.5,133,-700.4,-0.49,-104,2.104142368,148.8209,-17.59448,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.662381916
Ce_500,2.51,2.7,3716,10.8,1.65,1.23,1.430016,527.8,5.58,114,120,65.49,9.34,6.2099,55.74719986,1072,0.16,4.5,133,-700.4,-0.49,-104,2.104142368,148.8209,-17.59448,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.598682478
Ce_1000,2.51,2.7,3716,10.8,1.65,1.23,1.430016,527.8,5.58,114,120,65.49,9.34,6.2099,55.74719986,1072,0.16,4.5,133,-700.4,-0.49,-104,2.104142368,148.8209,-17.59448,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.323230671
Dy_0.1,2.78,2.49,2840,8.34,1.59,1.07,1.533052,572.2,14.3,115,120,74.78,11.13,5.9299,48.93099738,1685,-0.53,3.67,117,-695.6,-0.13,-143,1.600190223,120.6462,-16.71745,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.973072524
